textID,# words,genre,year
8641,17834,FIC,1810
8694,24620,FIC,1810
8637,18349,FIC,1811
8990,20281,FIC,1811
8987,14634,FIC,1812
8872,14432,FIC,1812
8873,2318,FIC,1812
8652,16673,FIC,1812
8649,13874,FIC,1812
8551,32916,FIC,1812
7433,14964,FIC,1813
8563,6570,FIC,1814
8564,7334,FIC,1814
8642,21370,FIC,1814
8679,13923,FIC,1815
8708,24515,FIC,1815
8716,11848,FIC,1815
8717,28066,FIC,1815
8719,21866,FIC,1815
8613,10603,FIC,1815
8745,715,FIC,1815
8746,595,FIC,1815
9352,25652,FIC,1815
8809,22100,FIC,1817
8550,14563,FIC,1817
8785,8038,FIC,1817
8709,8455,FIC,1818
7631,17332,FIC,1818
8886,2929,FIC,1818
8860,17275,FIC,1818
8861,18777,FIC,1818
8815,13862,FIC,1819
8988,14235,FIC,1819
8959,3144,FIC,1819
8960,3259,FIC,1819
8961,3714,FIC,1819
8977,6026,FIC,1819
9004,19911,FIC,1819
8693,14851,FIC,1819
8706,14395,FIC,1819
8618,7473,FIC,1819
8009,35181,FIC,1819
8291,175,FIC,1819
8260,16357,FIC,1820
7562,45611,FIC,1820
8735,12558,FIC,1820
8900,3363,FIC,1820
8901,1303,FIC,1820
8902,3040,FIC,1820
8985,7143,FIC,1821
8837,14786,FIC,1821
8794,10596,FIC,1821
8340,14988,FIC,1821
8338,193,FIC,1822
8543,9133,FIC,1822
7244,118794,FIC,1822
7274,6688,FIC,1822
7275,66086,FIC,1822
8736,18873,FIC,1822
7243,108733,FIC,1822
7213,80381,FIC,1823
7214,80198,FIC,1823
7241,114922,FIC,1823
7242,124769,FIC,1823
7246,121323,FIC,1823
7247,123823,FIC,1823
7248,85731,FIC,1823
7249,77975,FIC,1823
7977,15907,FIC,1823
8520,19364,FIC,1823
8633,9778,FIC,1823
8612,16952,FIC,1823
8813,6655,FIC,1823
9541,562,FIC,1823
9542,613,FIC,1823
9543,749,FIC,1823
9628,12039,FIC,1823
8255,811,FIC,1824
7277,45144,FIC,1824
7278,41662,FIC,1824
7279,43166,FIC,1824
7285,65533,FIC,1824
8753,17712,FIC,1824
8759,11976,FIC,1824
7211,71598,FIC,1824
7212,62129,FIC,1824
7022,22073,FIC,1824
7037,53159,FIC,1824
7041,70850,FIC,1825
3061,11061,FIC,1825
7283,25861,FIC,1825
8339,273,FIC,1825
8713,22183,FIC,1825
8664,1368,FIC,1826
